ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,Package Display,SMT Type,Value,description,image,link,pps,subpart_no
1,2N3904(TO-92),"Q1, Q2",TO92,2,2N3904,SEMTECH,LCSC,C118538,0.016,3,,LCEDA_Lib,,,,,,,,
2,150k,"R2, R18",R0805,2,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,,https://item.szlcsc.com/142685.html,,
3,WIMA .33uF,"C1, C2, C13",WIMA 2.5LS 4.7MM SQR,3,MKS0C031000C00,WIMA,,MKS02104M1,,2,,ChazMeister,No,,,,,https://www.anglia-live.com/Search/kw.aspx?kw=MKS02104M1%20WIMA,,
4,WIMA 680pF,"C5, C6",CAP- 2.5*4.6*7,2,FKP0D002200B00HSSD,,Mouser,,,2,,numaxim,,,220pf,,,,100pf,
5,0.1uF,"C7, C17, C20, C21, C25, C27, C28, C33, C34, C36",C0805,10,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,,https://item.szlcsc.com/373011.html,,
6,X4611WV-04I-C28D40,"H1, H2, H3, H4, H5",HDR-TH_4P-P2.00-V-M,5,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.054,4,HDR-TH_4P-P2.00-M-LI-1X4P,LCSC,,,,,,https://item.szlcsc.com/562479.html,,
7,TL072_SMD,"U5, U6",SO08,2,,,,,,8,,rossgrady,,,,,,,,1
8,1N5819,"D6, D7",SOD-123_FOR-5819,2,1N5819HWQ-7-F,Diodes Incorporated,LCSC,C460770,0.222,2,SOD-123_L2.8-W1.8-LS3.7-RD,LCSC,,,,,,https://item.szlcsc.com/301422.html,,
9,IDC Box 2.54mm 2X5P,P1,EURO_PWR_HEADER_LOCK,1,IDC Box 2.54mm 2X5P,BOOMELE,LCSC,C5665,0.073,10,,rossgrady,,,,,//image.lceda.cn/szlcsc/C5665.jpg,,,
10,DMB2227A-PNP/NPN,Q3,SOT-26_L3.0-W1.6-P0.95-LS2.8-BL,1,DMB2227,Diodes Incorporated,LCSC,C443639,0.183,6,SOT-26_L3.0-W1.6-P0.95-LS2.8-BL,rossgrady,,,,,,https://item.szlcsc.com/211080.html,,
